-101.8642799158, -184.6524063201, -198.5158260151
-101.8642799158, -184.6524063201, -198.5158260151
-101.8642799132, -184.6524063186, -198.5158260152
-101.8642799132, -184.6524063186, -198.5158260152
-101.8642799156, -184.6524063201, -206.3450087465
-101.8642799156, -184.6524063201, -206.3450087465
-101.8642799156, -184.6524063239, -268.3407773772
-101.8642799156, -184.6524063239, -268.3407773772
-101.8642799156, -184.6524063200, -284.7748647666
-101.8642799156, -184.6524063200, -284.7748647666
-101.8642799156, -184.6524063201, -290.6547976149
-101.8642799156, -184.6524063201, -290.6547976149
-101.8642799156, -184.6524063202, -319.0175121470
-101.8642799156, -184.6524063202, -319.0175121470
-101.8642799156, -184.6524063207, -357.8844630853
-101.8642799156, -184.6524063207, -357.8844630853
-101.8642799156, -184.6524063202, -380.7755881690
-101.8642799156, -184.6524063202, -380.7755881690
-101.8642799156, -184.6524063201, -395.4219838252
-101.8642799156, -184.6524063201, -395.4219838252
-101.8642799156, -184.6524063187, -405.2501286068
-101.8642799156, -184.6524063187, -405.2501286068
-101.8642799156, -184.6524063195, -412.9016305829
-101.8642799156, -184.6524063195, -412.9016305829
-101.8642799156, -184.6524063199, -418.6894998279
-101.8642799156, -184.6524063199, -418.6894998279
-101.8642799156, -184.6524063200, -423.0410098141
-101.8642799156, -184.6524063200, -423.0410098141
-101.8642799160, -184.6524063190, -423.3635954255
-101.8642799160, -184.6524063190, -423.3635954255
-101.8642799156, -184.6524063201, -423.3645811799
-101.8642799156, -184.6524063201, -423.3645811799
-101.8642799156, -184.6524063201, -424.2738979825
-101.8642799156, -184.6524063201, -424.2738979825
-101.8642799156, -184.6524063198, -424.3560936114
-101.8642799156, -184.6524063198, -424.3560936114
-101.8642799156, -184.6524063201, -424.3934582202
-101.8642799156, -184.6524063201, -424.3934582202
-101.8642799156, -184.6524063201, -424.7779312344
-101.8642799156, -184.6524063201, -424.7779312344
-101.8642799156, -184.6524063199, -424.8421223031
-101.8642799156, -184.6524063199, -424.8421223031
-101.8642799156, -184.6524063201, -424.8304985839
-101.8642799156, -184.6524063201, -424.8304985839
-101.8642799156, -184.6524063201, -424.1332365265
-101.8642799156, -184.6524063201, -424.1332365265
-101.8642799156, -184.6524063201, -421.5766759159
-101.8642799156, -184.6524063201, -421.5766759159
-101.8642799156, -184.6524063186, -415.9389231402
-101.8642799156, -184.6524063186, -415.9389231402
-101.8642799156, -184.6524063202, -405.4071679728
-101.8642799156, -184.6524063202, -405.4071679728
-101.8642799156, -184.6524063206, -381.5925947562
-101.8642799156, -184.6524063206, -381.5925947562
-101.8642799156, -184.6524063201, -328.2705471652
-101.8642799156, -184.6524063201, -328.2705471652
-101.8642799156, -184.6524063204, -289.2829527768
-101.8642799156, -184.6524063204, -289.2829527768
-101.8642799156, -184.6524063195, -269.3189795659
-101.8642799156, -184.6524063195, -269.3189795659
-101.8642799156, -184.6524063201, -241.2095867949
-101.8642799156, -184.6524063201, -241.2095867949
-101.8642799156, -184.6524063203, -194.7121965983
-101.8642799156, -184.6524063203, -194.7121965983
-101.8642799156, -184.6524063202, -153.3679609533
-101.8642799156, -184.6524063202, -153.3679609533
-101.8642799156, -184.6524063182, -95.3794484024
-101.8642799156, -184.6524063182, -95.3794484024
-101.8642799157, -184.6524063167, -93.0335970215
-101.8642799157, -184.6524063167, -93.0335970215
-101.8642799156, -184.6524063201, -77.7621242629
-101.8642799156, -184.6524063201, -77.7621242629
-101.8642799156, -184.6524063201, -62.2837542004
-101.8642799156, -184.6524063201, -62.2837542004
-101.8642799156, -184.6524063201, -62.2837542004
-101.8642799156, -184.6524063201, -62.2837542004
-101.8642799156, -184.6524063201, -62.2837542004
-101.8642799156, -184.6524063201, -62.2837542004
-101.8642799156, -184.6524063201, -79.2333401289
-101.8642799156, -184.6524063201, -79.2333401289
-101.8642799156, -184.6524063201, -91.7321856747
-101.8642799156, -184.6524063201, -91.7321856747
-101.8642799156, -184.6524063184, -101.2690643270
-101.8642799156, -184.6524063184, -101.2690643270
-101.8642799156, -184.6524063197, -99.8854925270
-101.8642799156, -184.6524063197, -99.8854925270
-101.8642799160, -184.6524063112, -96.9011959484
-101.8642799160, -184.6524063112, -96.9011959484
-101.8642799156, -184.6524063201, -92.5354430111
-101.8642799156, -184.6524063201, -92.5354430111
-101.8642799156, -184.6524063199, -91.2809972305
-101.8642799156, -184.6524063199, -91.2809972305
-101.8642799156, -184.6524063201, -90.3328432620
-101.8642799156, -184.6524063201, -90.3328432620
-101.8642799156, -184.6524063201, -85.9491659108
-101.8642799156, -184.6524063201, -85.9491659108
-101.8642799156, -184.6524063194, -78.2926886048
-101.8642799156, -184.6524063194, -78.2926886048
-101.8642799156, -184.6524063201, -74.3287040034
-101.8642799156, -184.6524063201, -74.3287040034
-101.8642799156, -184.6524063196, -72.8467299307
-101.8642799156, -184.6524063196, -72.8467299307
-101.8642799156, -184.6524063201, -63.5743037518
-101.8642799156, -184.6524063201, -63.5743037518
-101.8642799157, -184.6524063187, -61.6547078172
-101.8642799157, -184.6524063187, -61.6547078172
-101.8642799156, -184.6524063199, -60.4621024122
-101.8642799156, -184.6524063199, -60.4621024122
-101.8642799156, -184.6524063199, -59.1823043197
-101.8642799156, -184.6524063199, -59.1823043197
-101.8642799156, -184.6524063201, -55.8609935092
-101.8642799156, -184.6524063201, -55.8609935092
